        ks(1/s)        ksr(1/s)       ksnr(1/s)       kisc(1/s)         kt(1/s)        ktr(1/s)       ktnr(1/s)      krisc(1/s)       phi_sr(%)      phi_snr(%)      phi_isc(%)       phi_tr(%)      phi_tnr(%)     phi_risc(%)
    4.97279e+07     2.96632e+07     1.98748e+06     1.80772e+07     7.98439e+05     0.00000e+00     5.77908e+04     7.40648e+05        59.65096         3.99671        36.35232         0.00000         7.23797        92.76203
    4.97279e+07     2.96632e+07     1.97092e+06     1.80938e+07     7.98439e+05     0.00000e+00     5.84687e+04     7.39970e+05        59.65096         3.96341        36.38563         0.00000         7.32288        92.67712
    4.97279e+07     2.96632e+07     1.95436e+06     1.81104e+07     7.98439e+05     0.00000e+00     5.91454e+04     7.39293e+05        59.65096         3.93010        36.41893         0.00000         7.40764        92.59236
    4.97279e+07     2.96632e+07     1.93779e+06     1.81269e+07     7.98439e+05     0.00000e+00     5.98209e+04     7.38618e+05        59.65096         3.89680        36.45224         0.00000         7.49224        92.50776
    4.97279e+07     2.96632e+07     1.92123e+06     1.81435e+07     7.98439e+05     0.00000e+00     6.04952e+04     7.37943e+05        59.65096         3.86349        36.48555         0.00000         7.57668        92.42332
    4.97279e+07     2.96632e+07     1.90467e+06     1.81600e+07     7.98439e+05     0.00000e+00     6.11682e+04     7.37270e+05        59.65096         3.83018        36.51885         0.00000         7.66098        92.33902
    4.97279e+07     2.96632e+07     1.88811e+06     1.81766e+07     7.98439e+05     0.00000e+00     6.18400e+04     7.36599e+05        59.65096         3.79688        36.55216         0.00000         7.74511        92.25489
    4.97279e+07     2.96632e+07     1.87154e+06     1.81932e+07     7.98439e+05     0.00000e+00     6.25105e+04     7.35928e+05        59.65096         3.76357        36.58546         0.00000         7.82910        92.17090
    4.97279e+07     2.96632e+07     1.85498e+06     1.82097e+07     7.98439e+05     0.00000e+00     6.31799e+04     7.35259e+05        59.65096         3.73027        36.61877         0.00000         7.91293        92.08707
    4.97279e+07     2.96632e+07     1.83842e+06     1.82263e+07     7.98439e+05     0.00000e+00     6.38480e+04     7.34591e+05        59.65096         3.69696        36.65208         0.00000         7.99661        92.00339
    4.97279e+07     2.96632e+07     1.82186e+06     1.82429e+07     7.98439e+05     0.00000e+00     6.45150e+04     7.33924e+05        59.65096         3.66365        36.68538         0.00000         8.08014        91.91986
    4.97279e+07     2.96632e+07     1.80530e+06     1.82594e+07     7.98439e+05     0.00000e+00     6.51807e+04     7.33258e+05        59.65096         3.63035        36.71869         0.00000         8.16352        91.83648
    4.97279e+07     2.96632e+07     1.78873e+06     1.82760e+07     7.98439e+05     0.00000e+00     6.58452e+04     7.32593e+05        59.65096         3.59704        36.75199         0.00000         8.24674        91.75326
    4.97279e+07     2.96632e+07     1.77217e+06     1.82925e+07     7.98439e+05     0.00000e+00     6.65085e+04     7.31930e+05        59.65096         3.56374        36.78530         0.00000         8.32982        91.67018
    4.97279e+07     2.96632e+07     1.75561e+06     1.83091e+07     7.98439e+05     0.00000e+00     6.71706e+04     7.31268e+05        59.65096         3.53043        36.81861         0.00000         8.41274        91.58726
    4.97279e+07     2.96632e+07     1.73905e+06     1.83257e+07     7.98439e+05     0.00000e+00     6.78315e+04     7.30607e+05        59.65096         3.49713        36.85191         0.00000         8.49552        91.50448
    4.97279e+07     2.96632e+07     1.72248e+06     1.83422e+07     7.98439e+05     0.00000e+00     6.84912e+04     7.29947e+05        59.65096         3.46382        36.88522         0.00000         8.57814        91.42186
    4.97279e+07     2.96632e+07     1.70592e+06     1.83588e+07     7.98439e+05     0.00000e+00     6.91497e+04     7.29289e+05        59.65096         3.43051        36.91852         0.00000         8.66062        91.33938
    4.97279e+07     2.96632e+07     1.68936e+06     1.83754e+07     7.98439e+05     0.00000e+00     6.98070e+04     7.28632e+05        59.65096         3.39721        36.95183         0.00000         8.74294        91.25706
    4.97279e+07     2.96632e+07     1.67280e+06     1.83919e+07     7.98439e+05     0.00000e+00     7.04632e+04     7.27975e+05        59.65096         3.36390        36.98514         0.00000         8.82512        91.17488
    4.97279e+07     2.96632e+07     1.65623e+06     1.84085e+07     7.98439e+05     0.00000e+00     7.11182e+04     7.27320e+05        59.65096         3.33060        37.01844         0.00000         8.90715        91.09285
    4.97279e+07     2.96632e+07     1.63967e+06     1.84250e+07     7.98439e+05     0.00000e+00     7.17719e+04     7.26667e+05        59.65096         3.29729        37.05175         0.00000         8.98904        91.01096
    4.97279e+07     2.96632e+07     1.62311e+06     1.84416e+07     7.98439e+05     0.00000e+00     7.24246e+04     7.26014e+05        59.65096         3.26398        37.08505         0.00000         9.07077        90.92923
    4.97279e+07     2.96632e+07     1.60655e+06     1.84582e+07     7.98439e+05     0.00000e+00     7.30760e+04     7.25363e+05        59.65096         3.23068        37.11836         0.00000         9.15236        90.84764
    4.97279e+07     2.96632e+07     1.58999e+06     1.84747e+07     7.98439e+05     0.00000e+00     7.37263e+04     7.24712e+05        59.65096         3.19737        37.15166         0.00000         9.23381        90.76619
    4.97279e+07     2.96632e+07     1.57342e+06     1.84913e+07     7.98439e+05     0.00000e+00     7.43754e+04     7.24063e+05        59.65096         3.16407        37.18497         0.00000         9.31511        90.68489
    4.97279e+07     2.96632e+07     1.55686e+06     1.85079e+07     7.98439e+05     0.00000e+00     7.50233e+04     7.23415e+05        59.65096         3.13076        37.21828         0.00000         9.39626        90.60374
    4.97279e+07     2.96632e+07     1.54030e+06     1.85244e+07     7.98439e+05     0.00000e+00     7.56701e+04     7.22768e+05        59.65096         3.09745        37.25158         0.00000         9.47726        90.52274
    4.97279e+07     2.96632e+07     1.52374e+06     1.85410e+07     7.98439e+05     0.00000e+00     7.63158e+04     7.22123e+05        59.65096         3.06415        37.28489         0.00000         9.55813        90.44187
    4.97279e+07     2.96632e+07     1.50717e+06     1.85575e+07     7.98439e+05     0.00000e+00     7.69603e+04     7.21478e+05        59.65096         3.03084        37.31819         0.00000         9.63885        90.36115
    4.97279e+07     2.96632e+07     1.49061e+06     1.85741e+07     7.98439e+05     0.00000e+00     7.76036e+04     7.20835e+05        59.65096         2.99754        37.35150         0.00000         9.71942        90.28058
    4.97279e+07     2.96632e+07     1.47405e+06     1.85907e+07     7.98439e+05     0.00000e+00     7.82458e+04     7.20193e+05        59.65096         2.96423        37.38481         0.00000         9.79985        90.20015
    4.97279e+07     2.96632e+07     1.45749e+06     1.86072e+07     7.98439e+05     0.00000e+00     7.88868e+04     7.19552e+05        59.65096         2.93092        37.41811         0.00000         9.88014        90.11986
    4.97279e+07     2.96632e+07     1.44092e+06     1.86238e+07     7.98439e+05     0.00000e+00     7.95267e+04     7.18912e+05        59.65096         2.89762        37.45142         0.00000         9.96028        90.03972
    4.97279e+07     2.96632e+07     1.42436e+06     1.86404e+07     7.98439e+05     0.00000e+00     8.01655e+04     7.18273e+05        59.65096         2.86431        37.48472         0.00000        10.04028        89.95972
    4.97279e+07     2.96632e+07     1.40780e+06     1.86569e+07     7.98439e+05     0.00000e+00     8.08031e+04     7.17635e+05        59.65096         2.83101        37.51803         0.00000        10.12014        89.87986
    4.97279e+07     2.96632e+07     1.39124e+06     1.86735e+07     7.98439e+05     0.00000e+00     8.14396e+04     7.16999e+05        59.65096         2.79770        37.55134         0.00000        10.19986        89.80014
    4.97279e+07     2.96632e+07     1.37467e+06     1.86900e+07     7.98439e+05     0.00000e+00     8.20750e+04     7.16364e+05        59.65096         2.76439        37.58464         0.00000        10.27944        89.72056
    4.97279e+07     2.96632e+07     1.35811e+06     1.87066e+07     7.98439e+05     0.00000e+00     8.27093e+04     7.15729e+05        59.65096         2.73109        37.61795         0.00000        10.35888        89.64112
    4.97279e+07     2.96632e+07     1.34155e+06     1.87232e+07     7.98439e+05     0.00000e+00     8.33424e+04     7.15096e+05        59.65096         2.69778        37.65125         0.00000        10.43817        89.56183
