        ks(1/s)        ksr(1/s)       ksnr(1/s)       kisc(1/s)         kt(1/s)        ktr(1/s)       ktnr(1/s)      krisc(1/s)       phi_sr(%)      phi_snr(%)      phi_isc(%)       phi_tr(%)      phi_tnr(%)     phi_risc(%)
    6.66079e+07     4.67080e+07     6.33727e+06     1.35626e+07     4.03583e+05     0.00000e+00     1.16520e+05     2.87063e+05        70.12387         9.51429        20.36183         0.00000        28.87142        71.12858
    6.66079e+07     4.67080e+07     6.28575e+06     1.36141e+07     4.03583e+05     0.00000e+00     1.17607e+05     2.85976e+05        70.12387         9.43694        20.43919         0.00000        29.14061        70.85939
    6.66079e+07     4.67080e+07     6.23423e+06     1.36656e+07     4.03583e+05     0.00000e+00     1.18685e+05     2.84898e+05        70.12387         9.35959        20.51654         0.00000        29.40776        70.59224
    6.66079e+07     4.67080e+07     6.18270e+06     1.37172e+07     4.03583e+05     0.00000e+00     1.19755e+05     2.83828e+05        70.12387         9.28224        20.59389         0.00000        29.67291        70.32709
    6.66079e+07     4.67080e+07     6.13118e+06     1.37687e+07     4.03583e+05     0.00000e+00     1.20817e+05     2.82766e+05        70.12387         9.20489        20.67124         0.00000        29.93608        70.06392
    6.66079e+07     4.67080e+07     6.07966e+06     1.38202e+07     4.03583e+05     0.00000e+00     1.21871e+05     2.81712e+05        70.12387         9.12753        20.74859         0.00000        30.19728        69.80272
    6.66079e+07     4.67080e+07     6.02814e+06     1.38717e+07     4.03583e+05     0.00000e+00     1.22917e+05     2.80666e+05        70.12387         9.05018        20.82595         0.00000        30.45654        69.54346
    6.66079e+07     4.67080e+07     5.97661e+06     1.39233e+07     4.03583e+05     0.00000e+00     1.23956e+05     2.79627e+05        70.12387         8.97283        20.90330         0.00000        30.71388        69.28612
    6.66079e+07     4.67080e+07     5.92509e+06     1.39748e+07     4.03583e+05     0.00000e+00     1.24987e+05     2.78596e+05        70.12387         8.89548        20.98065         0.00000        30.96933        69.03067
    6.66079e+07     4.67080e+07     5.87357e+06     1.40263e+07     4.03583e+05     0.00000e+00     1.26010e+05     2.77573e+05        70.12387         8.81813        21.05800         0.00000        31.22290        68.77710
    6.66079e+07     4.67080e+07     5.82205e+06     1.40778e+07     4.03583e+05     0.00000e+00     1.27026e+05     2.76557e+05        70.12387         8.74077        21.13535         0.00000        31.47461        68.52539
    6.66079e+07     4.67080e+07     5.77052e+06     1.41293e+07     4.03583e+05     0.00000e+00     1.28035e+05     2.75548e+05        70.12387         8.66342        21.21271         0.00000        31.72449        68.27551
    6.66079e+07     4.67080e+07     5.71900e+06     1.41809e+07     4.03583e+05     0.00000e+00     1.29036e+05     2.74547e+05        70.12387         8.58607        21.29006         0.00000        31.97255        68.02745
    6.66079e+07     4.67080e+07     5.66748e+06     1.42324e+07     4.03583e+05     0.00000e+00     1.30030e+05     2.73553e+05        70.12387         8.50872        21.36741         0.00000        32.21882        67.78118
    6.66079e+07     4.67080e+07     5.61596e+06     1.42839e+07     4.03583e+05     0.00000e+00     1.31016e+05     2.72567e+05        70.12387         8.43137        21.44476         0.00000        32.46331        67.53669
    6.66079e+07     4.67080e+07     5.56443e+06     1.43354e+07     4.03583e+05     0.00000e+00     1.31996e+05     2.71587e+05        70.12387         8.35401        21.52211         0.00000        32.70604        67.29396
    6.66079e+07     4.67080e+07     5.51291e+06     1.43870e+07     4.03583e+05     0.00000e+00     1.32969e+05     2.70614e+05        70.12387         8.27666        21.59947         0.00000        32.94703        67.05297
    6.66079e+07     4.67080e+07     5.46139e+06     1.44385e+07     4.03583e+05     0.00000e+00     1.33934e+05     2.69649e+05        70.12387         8.19931        21.67682         0.00000        33.18630        66.81370
    6.66079e+07     4.67080e+07     5.40987e+06     1.44900e+07     4.03583e+05     0.00000e+00     1.34893e+05     2.68690e+05        70.12387         8.12196        21.75417         0.00000        33.42387        66.57613
    6.66079e+07     4.67080e+07     5.35834e+06     1.45415e+07     4.03583e+05     0.00000e+00     1.35845e+05     2.67738e+05        70.12387         8.04461        21.83152         0.00000        33.65976        66.34024
    6.66079e+07     4.67080e+07     5.30682e+06     1.45930e+07     4.03583e+05     0.00000e+00     1.36790e+05     2.66793e+05        70.12387         7.96725        21.90887         0.00000        33.89398        66.10602
    6.66079e+07     4.67080e+07     5.25530e+06     1.46446e+07     4.03583e+05     0.00000e+00     1.37729e+05     2.65854e+05        70.12387         7.88990        21.98623         0.00000        34.12656        65.87344
    6.66079e+07     4.67080e+07     5.20378e+06     1.46961e+07     4.03583e+05     0.00000e+00     1.38661e+05     2.64922e+05        70.12387         7.81255        22.06358         0.00000        34.35750        65.64250
    6.66079e+07     4.67080e+07     5.15225e+06     1.47476e+07     4.03583e+05     0.00000e+00     1.39587e+05     2.63996e+05        70.12387         7.73520        22.14093         0.00000        34.58683        65.41317
    6.66079e+07     4.67080e+07     5.10073e+06     1.47991e+07     4.03583e+05     0.00000e+00     1.40506e+05     2.63077e+05        70.12387         7.65785        22.21828         0.00000        34.81457        65.18543
    6.66079e+07     4.67080e+07     5.04921e+06     1.48507e+07     4.03583e+05     0.00000e+00     1.41418e+05     2.62165e+05        70.12387         7.58049        22.29563         0.00000        35.04072        64.95928
    6.66079e+07     4.67080e+07     4.99769e+06     1.49022e+07     4.03583e+05     0.00000e+00     1.42325e+05     2.61258e+05        70.12387         7.50314        22.37299         0.00000        35.26531        64.73469
    6.66079e+07     4.67080e+07     4.94616e+06     1.49537e+07     4.03583e+05     0.00000e+00     1.43225e+05     2.60358e+05        70.12387         7.42579        22.45034         0.00000        35.48835        64.51165
    6.66079e+07     4.67080e+07     4.89464e+06     1.50052e+07     4.03583e+05     0.00000e+00     1.44119e+05     2.59464e+05        70.12387         7.34844        22.52769         0.00000        35.70986        64.29014
    6.66079e+07     4.67080e+07     4.84312e+06     1.50567e+07     4.03583e+05     0.00000e+00     1.45007e+05     2.58576e+05        70.12387         7.27109        22.60504         0.00000        35.92985        64.07015
    6.66079e+07     4.67080e+07     4.79160e+06     1.51083e+07     4.03583e+05     0.00000e+00     1.45889e+05     2.57694e+05        70.12387         7.19373        22.68239         0.00000        36.14835        63.85165
    6.66079e+07     4.67080e+07     4.74007e+06     1.51598e+07     4.03583e+05     0.00000e+00     1.46764e+05     2.56819e+05        70.12387         7.11638        22.75975         0.00000        36.36535        63.63465
    6.66079e+07     4.67080e+07     4.68855e+06     1.52113e+07     4.03583e+05     0.00000e+00     1.47634e+05     2.55949e+05        70.12387         7.03903        22.83710         0.00000        36.58089        63.41911
    6.66079e+07     4.67080e+07     4.63703e+06     1.52628e+07     4.03583e+05     0.00000e+00     1.48498e+05     2.55085e+05        70.12387         6.96168        22.91445         0.00000        36.79498        63.20502
    6.66079e+07     4.67080e+07     4.58551e+06     1.53144e+07     4.03583e+05     0.00000e+00     1.49356e+05     2.54227e+05        70.12387         6.88433        22.99180         0.00000        37.00762        62.99238
    6.66079e+07     4.67080e+07     4.53398e+06     1.53659e+07     4.03583e+05     0.00000e+00     1.50209e+05     2.53374e+05        70.12387         6.80697        23.06915         0.00000        37.21883        62.78117
    6.66079e+07     4.67080e+07     4.48246e+06     1.54174e+07     4.03583e+05     0.00000e+00     1.51056e+05     2.52527e+05        70.12387         6.72962        23.14651         0.00000        37.42864        62.57136
    6.66079e+07     4.67080e+07     4.43094e+06     1.54689e+07     4.03583e+05     0.00000e+00     1.51897e+05     2.51686e+05        70.12387         6.65227        23.22386         0.00000        37.63705        62.36295
    6.66079e+07     4.67080e+07     4.37942e+06     1.55204e+07     4.03583e+05     0.00000e+00     1.52732e+05     2.50851e+05        70.12387         6.57492        23.30121         0.00000        37.84407        62.15593
    6.66079e+07     4.67080e+07     4.32789e+06     1.55720e+07     4.03583e+05     0.00000e+00     1.53562e+05     2.50021e+05        70.12387         6.49757        23.37856         0.00000        38.04972        61.95028
    6.66079e+07     4.67080e+07     4.27637e+06     1.56235e+07     4.03583e+05     0.00000e+00     1.54387e+05     2.49196e+05        70.12387         6.42021        23.45591         0.00000        38.25402        61.74598
    6.66079e+07     4.67080e+07     4.22485e+06     1.56750e+07     4.03583e+05     0.00000e+00     1.55206e+05     2.48377e+05        70.12387         6.34286        23.53327         0.00000        38.45698        61.54302
    6.66079e+07     4.67080e+07     4.17333e+06     1.57265e+07     4.03583e+05     0.00000e+00     1.56020e+05     2.47563e+05        70.12387         6.26551        23.61062         0.00000        38.65860        61.34140
    6.66079e+07     4.67080e+07     4.12180e+06     1.57781e+07     4.03583e+05     0.00000e+00     1.56828e+05     2.46755e+05        70.12387         6.18816        23.68797         0.00000        38.85891        61.14109
    6.66079e+07     4.67080e+07     4.07028e+06     1.58296e+07     4.03583e+05     0.00000e+00     1.57631e+05     2.45952e+05        70.12387         6.11081        23.76532         0.00000        39.05791        60.94209
    6.66079e+07     4.67080e+07     4.01876e+06     1.58811e+07     4.03583e+05     0.00000e+00     1.58429e+05     2.45154e+05        70.12387         6.03345        23.84267         0.00000        39.25562        60.74438
    6.66079e+07     4.67080e+07     3.96724e+06     1.59326e+07     4.03583e+05     0.00000e+00     1.59222e+05     2.44361e+05        70.12387         5.95610        23.92003         0.00000        39.45206        60.54794
    6.66079e+07     4.67080e+07     3.91571e+06     1.59842e+07     4.03583e+05     0.00000e+00     1.60009e+05     2.43574e+05        70.12387         5.87875        23.99738         0.00000        39.64722        60.35278
    6.66079e+07     4.67080e+07     3.86419e+06     1.60357e+07     4.03583e+05     0.00000e+00     1.60792e+05     2.42791e+05        70.12387         5.80140        24.07473         0.00000        39.84114        60.15886
    6.66079e+07     4.67080e+07     3.81267e+06     1.60872e+07     4.03583e+05     0.00000e+00     1.61570e+05     2.42013e+05        70.12387         5.72405        24.15208         0.00000        40.03381        59.96619
    6.66079e+07     4.67080e+07     3.76115e+06     1.61387e+07     4.03583e+05     0.00000e+00     1.62342e+05     2.41241e+05        70.12387         5.64669        24.22943         0.00000        40.22525        59.77475
    6.66079e+07     4.67080e+07     3.70962e+06     1.61902e+07     4.03583e+05     0.00000e+00     1.63110e+05     2.40473e+05        70.12387         5.56934        24.30679         0.00000        40.41547        59.58453
    6.66079e+07     4.67080e+07     3.65810e+06     1.62418e+07     4.03583e+05     0.00000e+00     1.63873e+05     2.39710e+05        70.12387         5.49199        24.38414         0.00000        40.60449        59.39551
    6.66079e+07     4.67080e+07     3.60658e+06     1.62933e+07     4.03583e+05     0.00000e+00     1.64631e+05     2.38952e+05        70.12387         5.41464        24.46149         0.00000        40.79231        59.20769
    6.66079e+07     4.67080e+07     3.55506e+06     1.63448e+07     4.03583e+05     0.00000e+00     1.65384e+05     2.38199e+05        70.12387         5.33729        24.53884         0.00000        40.97894        59.02106
    6.66079e+07     4.67080e+07     3.50353e+06     1.63963e+07     4.03583e+05     0.00000e+00     1.66133e+05     2.37450e+05        70.12387         5.25993        24.61619         0.00000        41.16441        58.83559
    6.66079e+07     4.67080e+07     3.45201e+06     1.64479e+07     4.03583e+05     0.00000e+00     1.66876e+05     2.36707e+05        70.12387         5.18258        24.69355         0.00000        41.34871        58.65129
    6.66079e+07     4.67080e+07     3.40049e+06     1.64994e+07     4.03583e+05     0.00000e+00     1.67616e+05     2.35968e+05        70.12387         5.10523        24.77090         0.00000        41.53186        58.46814
    6.66079e+07     4.67080e+07     3.34897e+06     1.65509e+07     4.03583e+05     0.00000e+00     1.68350e+05     2.35233e+05        70.12387         5.02788        24.84825         0.00000        41.71387        58.28613
    6.66079e+07     4.67080e+07     3.29744e+06     1.66024e+07     4.03583e+05     0.00000e+00     1.69080e+05     2.34503e+05        70.12387         4.95053        24.92560         0.00000        41.89475        58.10525
    6.66079e+07     4.67080e+07     3.24592e+06     1.66539e+07     4.03583e+05     0.00000e+00     1.69806e+05     2.33777e+05        70.12387         4.87318        25.00295         0.00000        42.07451        57.92549
    6.66079e+07     4.67080e+07     3.19440e+06     1.67055e+07     4.03583e+05     0.00000e+00     1.70527e+05     2.33056e+05        70.12387         4.79582        25.08031         0.00000        42.25316        57.74684
    6.66079e+07     4.67080e+07     3.14288e+06     1.67570e+07     4.03583e+05     0.00000e+00     1.71243e+05     2.32340e+05        70.12387         4.71847        25.15766         0.00000        42.43071        57.56929
    6.66079e+07     4.67080e+07     3.09135e+06     1.68085e+07     4.03583e+05     0.00000e+00     1.71955e+05     2.31628e+05        70.12387         4.64112        25.23501         0.00000        42.60718        57.39282
    6.66079e+07     4.67080e+07     3.03983e+06     1.68600e+07     4.03583e+05     0.00000e+00     1.72663e+05     2.30920e+05        70.12387         4.56377        25.31236         0.00000        42.78257        57.21743
